board_state,solution,moves
wbbbbbbbwbbbwwbbwbbbbbbbwbwwbbbwwbwbwbwwwwbwwwwwwbbbwwxxbbbwwwwx b,h1,g2 h2
wbbwxwwbwbbwwwwbwbbbbbwbwwbbbbwbwbbbbwbbbbbbwbbbbwwwbbxxwwwwwbxx w,h2,g2 g1
wbbwxwwbwwbwwwwbwbwbbbwbwwbwbbwbwbbbwwbbbbbbwwbbbwwwbbwxwwwwwwww b,h2,e8
xbbbbbbbbxbwbwwbbbwbwbwbbwwbbwwbbwbbbbwbbbbwwbwbbxbbbwwwxwwwwwwb b,a1,b7
wxbbbbbbxwbbbbbbxwbbbbbbwwwwbwbbwwbwwwbbwbbbwwbbbbbbbwwbwwwwwwww b,b8,a7 a6
bbbbbbbbwbbbwwbbwbbwbbbbwbbbbbbbbbbbbwbbbbwwwbbbbwwxwwwbwwxbbbbb b,c1,d2
xbbbbbbbbwwwwwwbbwwbwwwbbwbwwwbbbwwbwbwbbwwwbwwbbxwwwwwbxwwwxbwb b,e1,a8 b2
bbbbbbbbbbwwwwwbbwbbwwwbbwbbwwbbbwwbbbwbbwwwbbwbbxwwwwbbxwwwwwwb b,a1,b2
wwwwwwwxbwbbbwxbbbwwwwbbbbwwbbwbbbbwbwbbbbbbbbbbbbbbbbwxxxwwwwww w,g7,a1 b1 h2
xwwwwwwbxwwbbwwbbbwwbwwbbbbbwbbbbbbwwbbbbbwbbbbbbbbbbwxxwbwwwwwx w,h2,g2 a7
wwwwwwwwwbwwwbwbwwwwbwbwwbwwwbbwwwwwbbbwwbwbwbbwwwbbbbbxwxbxwwxx w,h2,g1 h1 d1
bwwwwwwwbwwbwbwwbwbwbwwwbwbbwwwwbwwwwwwwwwwbbwwwxwbwwbwwxbbbbbbx b,h1,a2
xbbbbbbbwbbwwbbbwbbbbbbbwbwbbbbbwbbwbbbbwbwwwbbbwwwbbwxbwwxwwwwx b,c1,g2
wwbbbbbbbwbbwbbwbbwwbwbwbwbwbbbwbwbbwbbwbbbbbwbwxbbwwbbwxbbbbbbw w,a1,a2
bbbbbwxxbbbbbwwbbbwwwwwbbwwwbwbbbwwwwbbbbwbwbbbbwwwbbbbbbwbbbbbb b,h8,g8
wwwwwwwxwwbbbbbxwbwbwbbbwbwwbbwbwbwbwbwbwbbbwbbbwbwwwwxbxwwwwwwx w,h7,g2
bbbbwxxwbbwwwwwwbwbwbbwwbwwbbbwwbwwbbwwwbwbwwbwwbwwwwwbwbwxwbbbb b,c1,f8 g8
bbbbbbbbbbbbbbbbbbbbbbwbbbbbwbbbbbbbbbbbbbwwbbbbbxwwwwbbxwwwwwwb b,a1,b2
bwwbbbbwbwwwwwwwbwbbwbbwbbwbbbwwbwbwbwwwbbwwwwwwbxbwwwxwxxbbbbbx w,b1,b2
